Column Name,Column Description [Include meaning of any codes or flags used in data column as well as detection limits.],Units of measurement,missing data/no data value
site_code,site designation where samples were collected ,unitless,blank= no data value
date,date of sample collection format M/DD/YYYY,unitless,blank= no data value
bay,bay where same was collected,unitless,blank= no data value
A. felis,Ariopsis felis abundance,unitless,blank= no data value
A. lineatus,Archirus lineatus abundance,unitless,blank= no data value
A. mitchilli,Anchoa mitchilli abundance,unitless,blank= no data value
A. xenica,Fundulus xenicus abundance,unitless,blank= no data value
C. boleosoma,Ctebogobius boleosoma abundance,unitless,blank= no data value
C. arenarius,Cynoscion arenarius abundance,unitless,blank= no data value
C. nebulosus,Cynoscion nebulosus abundance,unitless,blank= no data value
C. spilopterus,Citharichthys spilopterus abundance,unitless,blank= no data value
C. variegatus,Cyprinodontiformes abundance,unitless,blank= no data value
Cyprinodontiformes,Cyprinodon variegatus abundance,unitless,blank= no data value
D. maculatus,Dormitator maculatus abundance,unitless,blank= no data value
Engraulidae,Engraulidae abundance,unitless,blank= no data value
Eucinostomus sp.,Eucinostomus sp. abundance,unitless,blank= no data value
E. lyricus,Evorthodus lyricus abundance,unitless,blank= no data value
E. amblyopsis,Eleotris amblyopsis abundance,unitless,blank= no data value
E. argenteus,Eucinostomus argenteus abundance,unitless,blank= no data value
E. melanopterus,Eucinostomus melanopterus abundance,unitless,blank= no data value
F. grandis,Fundulus grandis abundance,unitless,blank= no data value
F. jenkinsi,Fundulidae abundance,unitless,blank= no data value
Fundulidae,Fundulus jenkinsi abundance,unitless,blank= no data value
Gobiidae,Gobiidae abundance,unitless,blank= no data value
G. oceanicus,Gobionellus oceanicus abundance,unitless,blank= no data value
G. bosc,Gobiosoma bosc abundance,unitless,blank= no data value
Harengula sp.,Harengula sp. abundance,unitless,blank= no data value
L. rhomboides,Lagodon rhomboides abundance,unitless,blank= no data value
L. griseus,Lutjanus griseus abundance,unitless,blank= no data value
L. xanthurus,Leiostomus xanthurus abundance,unitless,blank= no data value
M. beryllina,Menidia beryllina abundance,unitless,blank= no data value
Menidia sp.,Menidia sp. abundance,unitless,blank= no data value
M. cephalus,Mugil cephalus abundance,unitless,blank= no data value
M. curema,Mugil curema abundance,unitless,blank= no data value
M. punctatus,Myrophis punctatus abundance,unitless,blank= no data value
M. undulatus,Micropogonias undulatus abundance,unitless,blank= no data value
O. beta,Opsanus beta abundance,unitless,blank= no data value
P. cromis,Pogonias cromis abundance,unitless,blank= no data value
P. latipinna,Poecilia latipinna abundance,unitless,blank= no data value
S. plagiusa,Symphurus plagiusa abundance,unitless,blank= no data value
S. scovelli,Syngnathus scovelli abundance,unitless,blank= no data value
Unid. Fish,Unid. Fish abundance,unitless,blank= no data value
F. aztecus,Farfantepenaeus aztecus abundance,unitless,blank= no data value
Farf sp. duorarum?,Farfantepenaeus duorarum abundance,unitless,blank= no data value
L. setiferus,Litopenaeus setiferus abundance,unitless,blank= no data value
Penaeidae,Penaeidae abundance,unitless,blank= no data value
A. americanus,Armases americanum abundance,unitless,blank= no data value
A. benedicti,Armases benedicti abundance,unitless,blank= no data value
A. cinereum,Armases cinereum abundance,unitless,blank= no data value
A. heterochaelis,Alpheus heterochaelis abundance,unitless,blank= no data value
Alpheus sp.,Alpheus sp. abundance,unitless,blank= no data value
C. sapidus,Callinectes sapidus abundance,unitless,blank= no data value
C. similis,Callinectes similis abundance,unitless,blank= no data value
Caridean,Caridean abundance,unitless,blank= no data value
C. vittatus,Crab abundance,unitless,blank= no data value
Crab,Clibanarius vittatus abundance,unitless,blank= no data value
E. limosum,Eurytium limosum abundance,unitless,blank= no data value
L. tenuicornis,Leander tenuicornis abundance,unitless,blank= no data value
Ocypodidae (megalopa),Ocypodidae (megalopa) abundance,unitless,blank= no data value
P. intermedius,Palaemon intermedius abundance,unitless,blank= no data value
P. pugio,Palaemon pugio abundance,unitless,blank= no data value
P. vulgaris,Palaemon vulgaris abundance,unitless,blank= no data value
Palaemonetes    sp.,Palaemonetes sp. abundance,unitless,blank= no data value
Palaemonidae,Palaemonidae abundance,unitless,blank= no data value
Panopeidae (crab),Panopeidae abundance,unitless,blank= no data value
Portunidae (megalopae),Portunidae abundance,unitless,blank= no data value
P. herbstii,Panopeus herbstii abundance,unitless,blank= no data value
P. armatus,Pagurus armatus abundance,unitless,blank= no data value
S. reticulatum,Sesarma reticulatum abundance,unitless,blank= no data value
Sesarmidae,Sesarmidae abundance,unitless,blank= no data value
Uca sp.,Uca sp abundance,unitless,blank= no data value
TCRUST,total crustaceans abundance,unitless,blank= no data value
GTOTAL,total counts abundance,unitless,blank= no data value
